,title,company_name,location,stipend,intern_type
1772,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1773,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1774,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1775,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1776,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1777,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1778,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1779,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1780,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1781,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1782,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1783,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1784,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1785,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1786,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1787,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1788,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1789,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1790,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1791,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1792,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1793,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1794,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1795,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1796,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1797,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1798,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1799,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
1800,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1801,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
1802,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
1803,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
1804,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
1805,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
1806,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1807,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1808,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
1809,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
1810,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
1811,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
1812,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1813,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1814,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1815,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1816,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1817,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1818,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1819,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1820,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1821,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1822,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1823,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1824,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1825,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1826,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1827,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1828,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1829,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1830,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1831,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1832,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1833,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1834,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1835,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1836,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1837,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1838,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1839,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
1840,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1841,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
1842,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
1843,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
1844,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
1845,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
1846,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1847,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1848,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
1849,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
1850,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
1851,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
1852,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1853,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1854,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1855,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1856,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1857,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1858,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1859,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1860,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1861,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1862,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1863,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1864,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1865,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1866,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1867,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1868,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1869,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1870,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1871,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1872,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1873,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1874,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1875,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1876,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1877,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1878,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1879,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
1880,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1881,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
1882,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
1883,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
1884,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
1885,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
1886,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1887,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1888,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
1889,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
1890,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
1891,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
1892,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1893,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1894,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1895,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1896,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1897,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1898,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1899,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1900,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1901,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1902,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1903,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1904,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1905,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1906,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1907,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1908,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1909,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1910,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1911,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1912,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1913,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1914,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1915,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1916,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1917,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1918,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1919,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
1920,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1921,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
1922,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
1923,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
1924,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
1925,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
1926,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1927,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1928,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
1929,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
1930,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
1931,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
1932,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1933,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1934,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1935,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1936,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1937,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1938,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1939,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1940,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1941,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1942,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1943,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1944,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1945,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1946,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1947,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1948,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1949,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1950,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1951,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1952,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1953,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1954,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1955,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1956,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1957,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1958,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1959,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
1960,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
1961,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
1962,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
1963,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
1964,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
1965,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
1966,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1967,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1968,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
1969,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
1970,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
1971,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
1972,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
1973,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
1974,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
1975,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
1976,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
1977,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1978,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
1979,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
1980,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
1981,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
1982,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
1983,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
1984,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
1985,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
1986,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
1987,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
1988,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
1989,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1990,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
1991,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
1992,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
1993,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
1994,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
1995,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
1996,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
1997,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
1998,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
1999,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
2000,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
2001,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
2002,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
2003,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
2004,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
2005,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
2006,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2007,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2008,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
2009,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
2010,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
2011,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
2012,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
2013,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
2014,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2015,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
2016,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
2017,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
2018,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
2019,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
2020,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
2021,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
2022,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
2023,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
2024,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
2025,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
2026,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
2027,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
2028,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
2029,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
2030,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
2031,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
2032,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
2033,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
2034,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
2035,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
2036,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
2037,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
2038,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
2039,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
2040,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
2041,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
2042,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
2043,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
2044,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
2045,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
2046,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2047,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2048,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
2049,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
2050,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
2051,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
2052,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
2053,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
2054,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
2055,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
2056,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
2057,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
2058,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
2059,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
2060,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
2061,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
2062,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
2063,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
2064,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
2065,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
2066,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
2067,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
2068,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
2069,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
2070,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
2071,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
2072,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
