,title,company_name,location,stipend,intern_type
7840,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7841,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7842,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7843,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
7844,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
7845,Search Engine Optimization (SEO),                            Sportskeeda                        ,Work From Home," 5,000-8,000 /month",Internship
7846,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7847,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7848,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7849,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7850,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7851,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7852,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7853,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7854,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7855,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7856,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7857,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7858,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7859,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7860,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7861,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7862,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7863,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
